actor	film
2439	41101
5147	41101
6536	41101
1893	41101
38099	40786
38099	41050
7720	7649
7720	41050
4275	41050
9091	40194
9091	41050
7652	7649
7652	41050
20790	41050
9057	41050
25076	40786
15921	40786
2571	23621
2571	40786
25522	40786
24944	40786
24897	40786
17654	40786
24761	40786
662	40786
3562	40786
21952	40786
4997	40786
6924	40786
813	40748
5702	40559
57	40559
23429	40559
33157	40559
10027	40523
6194	40510
8970	40277
8970	40485
24748	40485
14700	40464
831	40277
14314	40277
7419	40277
17447	40277
4991	40277
37798	40254
26389	40254
27516	40212
17171	40212
13054	40194
