paper	citation
807438	1229
807438	1230
354552	272
354552	409
354552	2779
354552	3408
354552	3426
354552	2270
354552	2271
354552	2272
354552	2273
354552	2274
354552	2275
354552	2276
354552	2277
781126	474
781126	631
781126	2164
781126	2420
781126	3008
781126	2387
781126	2388
781126	2389
781126	2390
781126	2391
781126	2392
781126	2393
781126	2394
781126	2395
781126	2396
579095	378
579095	652
579095	1384
579095	1418
579095	1477
579095	1674
579095	1727
579095	2647
579095	2772
579095	3048
579095	3061
4117664	2649
2866595	281
2866595	538
2866595	770
2866595	831
2866595	1079
2866595	1245
2866595	1763
2866595	2323
2866595	2548
2866595	3382
2866595	2741
2866595	2742
2866595	2743
2866595	2744
2866595	2745
2866595	2746
75775	66
75775	83
75775	264
75775	555
75775	1021
75775	1226
75775	1672
75775	2387
75775	3403
75775	2770
75775	2771
75775	2772
75775	2773
161007	67
161007	399
161007	518
161007	624
161007	1752
161007	1879
161007	2286
161007	2536
161007	2949
161007	2774
161007	2775
161007	2776
161007	2777
161007	2778
161007	2779
161007	2780
161007	2781
161007	2782
161007	2783
161007	2784
127322	894
127322	1023
127322	2248
127322	2271
127322	2803
127322	3321
127322	3322
388288	274
388288	525
388288	1067
388288	1757
388288	2543
388288	3375
388288	3376
388288	3377
388288	3378
388288	3379
388288	3380
388288	3381
388288	3382
1364311	3314
1364311	797
1364311	798
1364311	799
1364311	800
1364311	801
1364311	802
1856049	2722
1856049	2906
588980	2652
588980	2904
588980	2905
588980	2906
522944	2904
522944	3155
522944	3156
522294	102
522294	1365
522294	1710
522294	2878
522294	3084
522294	1050
522294	1051
52738	82
52738	99
52738	1307
52738	1361
52738	2791
52738	3217
52738	1351
52738	1352
52738	1353
52738	1354
577890	2797
577890	2809
577890	3410
577890	3427
577890	2875
577890	2876
577890	2877
577890	2878
577890	2879
577890	2880
577890	2881
577890	2882
577890	2883
579157	373
579157	1351
579157	2363
579157	2798
579157	2879
579157	3182
579157	3183
1733718	91
1733718	105
1733718	149
1733718	374
1733718	637
1733718	670
1733718	800
1733718	1354
1733718	1370
1733718	1543
1733718	1740
1733718	1750
1733718	1958
1733718	2511
1733718	2856
1733718	2946
1733718	3359
1733718	3491
781468	389
781468	475
781468	557
781468	664
781468	678
781468	1558
781468	1596
781468	1701
781468	2112
781468	2384
781468	2945
781468	2952
781468	3009
781468	3042
781468	623
781468	624
781468	625
781468	626
781468	627
781468	628
781468	629
781468	630
781468	631
781468	632
781468	633
781468	634
781468	635
781468	636
781468	637
781468	638
781468	639
781468	640
781572	390
781572	545
781572	680
781572	714
781572	1559
781572	1598
781572	1611
781572	1703
781572	2083
781572	2565
781572	2953
781572	3004
781572	3206
781572	3260
781572	659
781572	660
781572	661
781572	662
781572	663
781572	664
781572	665
781572	666
781572	667
781572	668
781572	669
781572	670
578793	1535
578793	1536
578793	1537
578793	1538
578793	1539
578793	1540
578793	1541
578793	1542
578793	1543
578793	1544
687568	2737
6996	1707
6996	2815
6996	1349
6996	1350
489288	73
489288	1432
489288	2223
489288	3498
489288	1482
489288	1483
565382	528
565382	728
565382	766
565382	1242
565382	2650
565382	2651
43907	65
43907	1426
43907	1708
43907	2290
43907	3496
43907	3052
43907	3053
79452	297
79452	593
79452	917
79452	996
79452	1439
79452	1898
79452	2245
79452	2409
79452	2555
79452	3055
79452	3308
79452	3309
79452	3310
79765	298
79765	397
79765	641
79765	997
79765	1440
79765	1689
79765	1899
79765	2292
79765	2473
79765	2625
79765	2631
79765	3350
79765	3054
79765	3055
79765	3056
79765	3057
79765	3058
79765	3059
116065	299
116065	999
116065	1265
116065	1376
116065	1513
116065	2357
116065	2438
116065	2556
116065	2594
116065	3056
116065	1372
136327	300
136327	788
136327	895
136327	920
136327	1900
136327	2067
136327	2359
136327	2439
136327	2557
136327	3316
136327	1375
136327	1376
136327	1377
136327	1378
136327	1379
136327	1380
201545	301
201545	1266
201545	1442
201545	1622
201545	1901
201545	2157
201545	2249
201545	2447
201545	2475
201545	2500
201545	3175
201545	916
201545	917
201545	918
201545	919
201545	920
201545	921
201545	922
201545	923
201545	924
201545	925
251608	304
251608	1002
251608	1691
251608	1902
251608	2633
251608	2806
251608	3350
251608	3351
295291	305
295291	1445
295291	2007
295291	3144
295291	3326
295291	3353
295291	3354
320113	42
320113	306
320113	523
320113	1447
320113	1756
320113	2502
320113	2628
320113	3376
320113	2245
320113	2246
320113	2247
320113	2248
320113	2249
320113	2250
320113	2251
323508	307
323508	1032
323508	3360
323508	3407
323508	3110
323508	3111
323508	3112
323508	3113
325983	308
325983	626
325983	646
325983	1003
325983	1448
325983	1537
325983	1741
325983	2009
325983	2174
325983	2378
325983	2389
325983	2503
325983	2842
325983	2887
325983	3328
325983	3446
325983	1897
325983	1898
325983	1899
325983	1900
325983	1901
325983	1902
325983	1904
325983	1905
325983	1906
331025	309
331025	1449
331025	2010
331025	2261
331025	2504
331025	3329
331025	3360
331025	3361
331128	271
331128	310
331128	1004
331128	1033
331128	1304
331128	1429
331128	1450
331128	2236
331128	2262
331128	2274
331128	2362
331128	2505
331128	2539
331128	2629
331128	2634
331128	2741
331128	2778
331128	2795
331128	2807
331128	2816
331128	3083
331128	3330
331128	3361
331128	3377
331128	1436
331128	1437
331128	1438
378220	311
378220	1451
378220	1742
378220	2175
378220	2817
378220	2896
378220	3332
378220	995
378220	996
378220	997
378220	998
378220	999
378220	1000
378220	1001
378220	1002
378220	1003
378220	1004
378220	1005
378220	1006
378220	1007
378220	1008
393761	312
393761	1005
393761	1453
393761	1769
393761	1904
393761	2011
393761	2819
393761	2847
393761	2631
393761	2632
393761	2633
393761	2634
393761	2635
393761	2636
393761	2637
393761	2638
524831	313
524831	828
524831	1141
524831	1330
524831	1454
524831	1912
524831	2218
524831	2478
524831	3499
524831	2302
524831	2303
524831	2304
524946	314
524946	1006
524946	1455
524946	2012
524946	2507
524946	2820
524946	2004
524946	2005
524946	2006
565232	85
565232	277
565232	315
565232	1068
565232	1150
565232	1228
565232	1456
565232	1682
565232	1980
565232	2004
565232	2544
565232	2630
565232	2637
565232	2650
565232	2743
565232	2783
565232	3085
565232	3105
565232	3322
565232	3368
565232	3380
565232	3409
565232	373
565232	374
565232	375
578352	316
578352	791
578352	932
578352	1267
578352	1457
578352	1623
578352	1693
578352	2073
578352	2440
578352	2479
578352	2666
578352	3147
578352	1512
578352	1513
578352	1514
578352	1515
578352	1516
578352	1517
578352	1518
578352	1519
578352	1520
578352	1521
578352	1522
781559	421
781559	463
781559	487
781559	544
781559	552
781559	558
781559	607
781559	621
781559	632
781559	665
781559	679
781559	1091
781559	1114
781559	1168
781559	1194
781559	1218
781559	1386
781559	1541
781559	1568
781559	1575
781559	1597
781559	1676
781559	1702
781559	1728
