1647	1647
1650	1650
1653	1653
1658	1658
1669	1669
1701	1701
1748	1748
1756	1756
1761	1761
1781	1781
1787	1787
1805	1805
1811	1811
1821	1821
1819	1819
1823	1823
1825	1825
5190	5190
30720	30720
33765	33765
33767	33767
40204	40204
9513	9513
40162	40162
170	170
6209	6209
5383	5383
38845	38845
193	193
13748	13748
29991	29991
1226	1226
16437	16437
1339	1339
12882	12882
1211	1211
12780	12780
1345	1345
12893	12893
28343	28343
35254	35254
35256	35256
36097	36097
12866	12866
35232	35232
28353	28353
8686	8686
35300	35300
8701	8701
1377	1377
1380	1380
12904	12904
12906	12906
28374	28374
8709	8709
1388	1388
12926	12926
1394	1394
28387	28387
1397	1397
12934	12934
40173	40173
