offer	inst
643	572
597	382
598	382
620	588
649	382
1213	592
632	588
605	590
608	590
607	590
604	590
606	590
600	575
645	575
628	595
647	595
636	382
634	382
622	575
630	592
641	592
571	572
624	572
576	572
584	572
611	592
614	592
591	592
593	588
587	588
610	588
626	590
589	590
582	578
577	578
625	578
581	578
580	578
574	575
579	575
615	595
612	595
594	595
