offer	subject
643	573
597	573
598	573
620	573
649	573
1213	573
632	573
605	573
608	573
607	573
604	573
606	573
600	573
645	573
628	573
647	573
636	573
634	573
622	573
630	573
641	573
571	573
624	573
576	573
584	573
611	573
614	573
591	573
593	573
587	573
610	573
626	573
589	573
582	573
577	573
625	573
581	573
580	573
574	573
579	573
615	573
612	573
594	573
