actor	film
2439	41101
5147	41101
6536	41101
1893	41101
38099	40786
38099	41050
7720	41050
4275	41050
9091	40194
9091	41050
7652	41050
20790	39887
20790	41050
9057	41050
25076	40786
15921	40786
2571	40786
25522	39887
25522	40786
24944	40786
24897	40786
17654	40786
24761	40786
662	40786
3562	40786
21952	40786
4997	40786
6924	40786
813	40748
5702	40559
57	40559
23429	40559
33157	40559
10027	40523
6194	40510
8970	40277
8970	40485
24748	40485
14700	40464
831	40277
14314	40277
7419	40277
17447	40277
4991	40277
37798	40254
26389	40254
27516	40212
17171	40212
13054	40194
14323	40194
1648	40194
22064	40155
22064	40194
9525	40194
13810	40194
11397	40155
13025	40155
1651	40155
6493	40155
463	40143
4551	40105
6739	40105
3476	40105
12976	40105
5753	39887
5262	39887
1147	39887
12999	39887
676	39887
22819	39622
3919	39622
3872	39622
4657	39622
3899	39622
15554	39622
3815	39622
28760	39622
297	39622
15472	39622
7323	39622
8773	39243
8788	39243
843	39243
8779	39243
8758	39243
8809	39243
8246	39243
25969	39243
8800	39243
8770	39243
