offer	subject
1248	11
898	11
9	11
814	11
852	11
1221	11
885	11
874	11
829	11
1205	11
1218	11
959	11
1250	11
1260	11
1225	11
1222	11
1217	11
1256	11
1251	11
1081	11
1241	11
1155	11
784	11
1259	11
13	11
1253	11
1233	11
984	11
16	11
1242	11
1235	11
1255	11
1006	11
1045	11
1223	11
933	11
1219	11
1231	11
1232	11
1118	11
1182	11
765	11
1239	11
1028	11
1227	11
1243	11
912	11
1238	11
1133	11
1258	11
1237	11
799	11
1246	11
1228	11
1062	11
1099	11
